50, 1134, 1225, 564, 219, 411, 459, 432, 413, 283, 327, 234, 411, 393, 446, 435, 219
100, 4905, 4950, 2557, 532, 1074, 1034, 1059, 1050, 752, 840, 766, 905, 832, 1005, 1014, 532
500, 124695, 124750, 64248, 3847, 7699, 6887, 6878, 7616, 5459, 6923, 5895, 6683, 6085, 6916, 6642, 3847
1000, 497730, 499500, 240852, 8678, 16637, 15924, 15176, 17141, 12931, 15202, 13884, 14432, 12778, 14366, 15937, 8678
5000, 12495730, 12497500, 6217214, 55330, 99469, 97973, 90384, 109695, 88131, 107308, 101675, 72094, 85088, 91006, 89959, 55330
10000, 49987374, 49995000, 25168675, 120514, 209798, 215208, 194380, 239561, 205125, 239094, 232944, 154715, 181223, 194724, 190517, 120514
100000, 704961794, 704982704, 18446744071907168515, 1536417, 2608906, 2768453, 2362427, 3059368, 5862312, 3791928, 3844594, 1977008, 2278728, 2436023, 2387163, 1536417
